id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
33693,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33693,"Coro del Teatro Regio, Torino",7196,Coro
33693,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33694,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33694,"Coro del Teatro Regio, Torino",7196,Coro
33694,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33695,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33695,"Coro del Teatro Regio, Torino",7196,Coro
33695,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33696,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33696,"Coro del Teatro Regio, Torino",7196,Coro
33696,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33697,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33697,"Coro del Teatro Regio, Torino",7196,Coro
33697,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33698,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33698,"Coro del Teatro Regio, Torino",7196,Coro
33699,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33700,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33701,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33702,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33702,"Coro del Teatro Regio, Torino",7196,Coro
33703,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33703,"Coro del Teatro Regio, Torino",7196,Coro
33704,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33704,"Coro del Teatro Regio, Torino",7196,Coro
33705,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33705,"Coro del Teatro Regio, Torino",7196,Coro
33706,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33706,"Coro del Teatro Regio, Torino",7196,Coro
33706,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33707,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33707,"Coro del Teatro Regio, Torino",7196,Coro
33707,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33708,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33708,"Coro del Teatro Regio, Torino",7196,Coro
33708,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33709,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33709,"Coro del Teatro Regio, Torino",7196,Coro
33709,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33710,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33710,"Coro del Teatro Regio, Torino",7196,Coro
33710,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33711,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33711,"Coro del Teatro Regio, Torino",7196,Coro
33711,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33712,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33712,"Coro del Teatro Regio, Torino",7196,Coro
33712,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33713,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33713,"Coro del Teatro Regio, Torino",7196,Coro
33713,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33714,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33714,"Coro del Teatro Regio, Torino",7196,Coro
33715,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33715,"Coro del Teatro Regio, Torino",7196,Coro
33716,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33716,"Coro del Teatro Regio, Torino",7196,Coro
33717,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33717,"Coro del Teatro Regio, Torino",7196,Coro
33718,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33718,"Coro del Teatro Regio, Torino",7196,Coro
33719,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33719,"Coro del Teatro Regio, Torino",7196,Coro
33720,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33720,"Coro del Teatro Regio, Torino",7196,Coro
33721,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33721,"Coro del Teatro Regio, Torino",7196,Coro
33722,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33722,"Coro del Teatro Regio, Torino",7196,Coro
33722,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33723,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33723,"Coro del Teatro Regio, Torino",7196,Coro
33723,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33724,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33724,"Coro del Teatro Regio, Torino",7196,Coro
33724,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33725,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33725,"Coro del Teatro Regio, Torino",7196,Coro
33725,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33726,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33726,"Coro del Teatro Regio, Torino",7196,Coro
33727,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33727,"Coro del Teatro Regio, Torino",7196,Coro
33728,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33728,"Coro del Teatro Regio, Torino",7196,Coro
33729,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33729,"Coro del Teatro Regio, Torino",7196,Coro
33730,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33730,"Coro del Teatro Regio, Torino",7196,Coro
33731,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33731,"Coro del Teatro Regio, Torino",7196,Coro
33732,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33732,"Coro del Teatro Regio, Torino",7196,Coro
33732,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33733,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33733,"Coro del Teatro Regio, Torino",7196,Coro
33733,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33734,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33734,"Coro del Teatro Regio, Torino",7196,Coro
33734,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33735,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33735,"Coro del Teatro Regio, Torino",7196,Coro
33735,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33736,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33736,"Coro del Teatro Regio, Torino",7196,Coro
33736,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33737,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33737,"Coro del Teatro Regio, Torino",7196,Coro
33737,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33738,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33738,"Coro del Teatro Regio, Torino",7196,Coro
33738,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33739,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33739,"Coro del Teatro Regio, Torino",7196,Coro
33739,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33740,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33740,"Coro del Teatro Regio, Torino",7196,Coro
33740,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33741,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33741,"Coro del Teatro Regio, Torino",7196,Coro
33741,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33742,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33742,"Coro del Teatro Regio, Torino",7196,Coro
33742,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33743,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33743,"Coro del Teatro Regio, Torino",7196,Coro
33743,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33744,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33744,"Coro del Teatro Regio, Torino",7196,Coro
33744,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33745,"Orchestra del Teatro di Stato dell'Opera di Zagabria, Zagabria",9693,Orchestra
33745,"Coro del Teatro di Stato dell’Opera, Zagabria",9694,Coro
33745,"Corpo di ballo del Teatro di Stato dell'Opera di Zagabria, Zagabria",9695,Compagnia di danza / corpo di ballo
33746,"Orchestra del Teatro di Stato dell'Opera di Zagabria, Zagabria",9693,Orchestra
33746,"Coro del Teatro di Stato dell’Opera, Zagabria",9694,Coro
33746,"Corpo di ballo del Teatro di Stato dell'Opera di Zagabria, Zagabria",9695,Compagnia di danza / corpo di ballo
33747,"Orchestra del Teatro di Stato dell'Opera di Zagabria, Zagabria",9693,Orchestra
33747,"Coro del Teatro di Stato dell’Opera, Zagabria",9694,Coro
33747,"Corpo di ballo del Teatro di Stato dell'Opera di Zagabria, Zagabria",9695,Compagnia di danza / corpo di ballo
33748,"Orchestra del Teatro di Stato dell'Opera di Zagabria, Zagabria",9693,Orchestra
33748,"Coro del Teatro di Stato dell’Opera, Zagabria",9694,Coro
33748,"Corpo di ballo del Teatro di Stato dell'Opera di Zagabria, Zagabria",9695,Compagnia di danza / corpo di ballo
33749,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33749,"Coro del Teatro Regio, Torino",7196,Coro
33750,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33750,"Coro del Teatro Regio, Torino",7196,Coro
33751,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33751,"Coro del Teatro Regio, Torino",7196,Coro
33752,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33752,"Coro del Teatro Regio, Torino",7196,Coro
33753,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33753,"Coro del Teatro Regio, Torino",7196,Coro
33754,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33754,"Coro del Teatro Regio, Torino",7196,Coro
33755,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33755,"Coro del Teatro Regio, Torino",7196,Coro
33756,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33756,"Coro del Teatro Regio, Torino",7196,Coro
33757,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33757,"Coro del Teatro Regio, Torino",7196,Coro
33758,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33758,"Coro del Teatro Regio, Torino",7196,Coro
33759,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33759,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33760,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33760,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33761,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33761,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33762,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33762,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33763,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33763,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33764,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33764,"Coro del Teatro Regio, Torino",7196,Coro
33765,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33765,"Coro del Teatro Regio, Torino",7196,Coro
33766,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33766,"Coro del Teatro Regio, Torino",7196,Coro
33767,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33767,"Coro del Teatro Regio, Torino",7196,Coro
33768,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33768,"Coro del Teatro Regio, Torino",7196,Coro
33769,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33769,"Coro del Teatro Regio, Torino",7196,Coro
33770,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33770,"Coro del Teatro Regio, Torino",7196,Coro
33771,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33771,"Coro del Teatro Regio, Torino",7196,Coro
33772,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33772,"Coro del Teatro Regio, Torino",7196,Coro
33773,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33773,"Coro del Teatro Regio, Torino",7196,Coro
33774,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33774,"Coro del Teatro Regio, Torino",7196,Coro
33775,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33775,"Coro del Teatro Regio, Torino",7196,Coro
33776,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33776,"Coro del Teatro Regio, Torino",7196,Coro
33777,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33777,"Coro del Teatro Regio, Torino",7196,Coro
33778,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33778,"Coro del Teatro Regio, Torino",7196,Coro
33779,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33779,"Coro del Teatro Regio, Torino",7196,Coro
33780,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33780,"Coro del Teatro Regio, Torino",7196,Coro
33781,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33781,"Coro del Teatro Regio, Torino",7196,Coro
33782,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33782,"Coro del Teatro Regio, Torino",7196,Coro
33783,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33783,"Coro del Teatro Regio, Torino",7196,Coro
33784,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33784,"Coro del Teatro Regio, Torino",7196,Coro
33785,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33785,"Coro del Teatro Regio, Torino",7196,Coro
33786,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33786,"Coro del Teatro Regio, Torino",7196,Coro
33787,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33787,"Coro del Teatro Regio, Torino",7196,Coro
33788,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33788,"Coro del Teatro Regio, Torino",7196,Coro
33789,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33789,"Coro del Teatro Regio, Torino",7196,Coro
33790,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33790,"Coro del Teatro Regio, Torino",7196,Coro
33791,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33791,"Coro del Teatro Regio, Torino",7196,Coro
33792,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33792,"Coro del Teatro Regio, Torino",7196,Coro
33793,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33793,"Coro del Teatro Regio, Torino",7196,Coro
33794,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33794,"Coro del Teatro Regio, Torino",7196,Coro
33795,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33795,"Coro del Teatro Regio, Torino",7196,Coro
33796,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33796,"Coro del Teatro Regio, Torino",7196,Coro
33797,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33797,"Coro del Teatro Regio, Torino",7196,Coro
33798,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33798,"Coro del Teatro Regio, Torino",7196,Coro
33799,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33799,"Coro del Teatro Regio, Torino",7196,Coro
33800,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33801,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33802,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33803,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33804,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33805,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33806,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33807,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33808,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33808,"Coro del Teatro Regio, Torino",7196,Coro
33808,"Piccoli cantori, Torino",8517,Coro
33808,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33809,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33809,"Coro del Teatro Regio, Torino",7196,Coro
33809,"Piccoli cantori, Torino",8517,Coro
33809,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33810,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33810,"Coro del Teatro Regio, Torino",7196,Coro
33810,"Piccoli cantori, Torino",8517,Coro
33810,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33811,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33811,"Coro del Teatro Regio, Torino",7196,Coro
33811,"Piccoli cantori, Torino",8517,Coro
33811,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33812,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33812,"Coro del Teatro Regio, Torino",7196,Coro
33812,"Piccoli cantori, Torino",8517,Coro
33812,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33813,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33813,"Coro del Teatro Regio, Torino",7196,Coro
33813,"Piccoli cantori, Torino",8517,Coro
33813,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33814,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33814,"Coro del Teatro Regio, Torino",7196,Coro
33814,"Piccoli cantori, Torino",8517,Coro
33814,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33815,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33815,"Coro del Teatro Regio, Torino",7196,Coro
33815,"Piccoli cantori, Torino",8517,Coro
33815,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33816,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33816,"Coro del Teatro Regio, Torino",7196,Coro
33816,"Piccoli cantori, Torino",8517,Coro
33816,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33817,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33817,"Coro del Teatro Regio, Torino",7196,Coro
33817,"Piccoli cantori, Torino",8517,Coro
33817,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33818,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33818,"Coro del Teatro Regio, Torino",7196,Coro
33818,"Piccoli cantori, Torino",8517,Coro
33818,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33819,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33819,"Coro del Teatro Regio, Torino",7196,Coro
33819,"Piccoli cantori, Torino",8517,Coro
33819,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33820,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33820,"Coro del Teatro Regio, Torino",7196,Coro
33820,"Piccoli cantori, Torino",8517,Coro
33820,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33821,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33821,"Coro del Teatro Regio, Torino",7196,Coro
33821,"Piccoli cantori, Torino",8517,Coro
33821,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33822,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33822,"Coro del Teatro Regio, Torino",7196,Coro
33823,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33823,"Coro del Teatro Regio, Torino",7196,Coro
33824,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33824,"Coro del Teatro Regio, Torino",7196,Coro
33825,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33825,"Coro del Teatro Regio, Torino",7196,Coro
33826,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33826,"Coro del Teatro Regio, Torino",7196,Coro
33827,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33827,"Coro del Teatro Regio, Torino",7196,Coro
33828,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33828,"Coro del Teatro Regio, Torino",7196,Coro
33829,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33829,"Coro del Teatro Regio, Torino",7196,Coro
33830,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33830,"Coro del Teatro Regio, Torino",7196,Coro
33831,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33831,"Coro del Teatro Regio, Torino",7196,Coro
33832,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33832,"Coro del Teatro Regio, Torino",7196,Coro
33833,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33833,"Coro del Teatro Regio, Torino",7196,Coro
33834,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33834,"Coro del Teatro Regio, Torino",7196,Coro
33834,"Piccoli cantori, Torino",8517,Coro
33835,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33835,"Coro del Teatro Regio, Torino",7196,Coro
33835,"Piccoli cantori, Torino",8517,Coro
33836,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33836,"Coro del Teatro Regio, Torino",7196,Coro
33836,"Piccoli cantori, Torino",8517,Coro
33837,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33837,"Coro del Teatro Regio, Torino",7196,Coro
33837,"Piccoli cantori, Torino",8517,Coro
33838,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33838,"Coro del Teatro Regio, Torino",7196,Coro
33838,"Piccoli cantori, Torino",8517,Coro
33839,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33839,"Coro del Teatro Regio, Torino",7196,Coro
33839,"Piccoli cantori, Torino",8517,Coro
33840,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33840,"Coro del Teatro Regio, Torino",7196,Coro
33840,"Piccoli cantori, Torino",8517,Coro
33840,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33841,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33841,"Coro del Teatro Regio, Torino",7196,Coro
33841,"Piccoli cantori, Torino",8517,Coro
33841,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33842,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33842,"Coro del Teatro Regio, Torino",7196,Coro
33842,"Piccoli cantori, Torino",8517,Coro
33842,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33843,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33843,"Coro del Teatro Regio, Torino",7196,Coro
33843,"Piccoli cantori, Torino",8517,Coro
33843,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33844,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33844,"Coro del Teatro Regio, Torino",7196,Coro
33844,"Piccoli cantori, Torino",8517,Coro
33844,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33845,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33845,"Coro del Teatro Regio, Torino",7196,Coro
33845,"Piccoli cantori, Torino",8517,Coro
33845,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33846,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33846,"Coro del Teatro Regio, Torino",7196,Coro
33846,"Piccoli cantori, Torino",8517,Coro
33846,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33847,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33847,"Coro del Teatro Regio, Torino",7196,Coro
33847,"Piccoli cantori, Torino",8517,Coro
33847,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33848,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33848,"Coro del Teatro Regio, Torino",7196,Coro
33848,"Piccoli cantori, Torino",8517,Coro
33848,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33849,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33849,"Coro del Teatro Regio, Torino",7196,Coro
33849,"Piccoli cantori, Torino",8517,Coro
33849,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33850,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33850,"Coro del Teatro Regio, Torino",7196,Coro
33850,"Piccoli cantori, Torino",8517,Coro
33850,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33851,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33851,"Coro del Teatro Regio, Torino",7196,Coro
33851,"Piccoli cantori, Torino",8517,Coro
33851,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33852,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33852,"Coro del Teatro Regio, Torino",7196,Coro
33852,"Piccoli cantori, Torino",8517,Coro
33852,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33853,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33853,"Coro del Teatro Regio, Torino",7196,Coro
33854,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33854,"Coro del Teatro Regio, Torino",7196,Coro
33855,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33855,"Coro del Teatro Regio, Torino",7196,Coro
33856,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33856,"Coro del Teatro Regio, Torino",7196,Coro
33857,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33857,"Coro del Teatro Regio, Torino",7196,Coro
33858,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33858,"Coro del Teatro Regio, Torino",7196,Coro
33859,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33859,"Coro del Teatro Regio, Torino",7196,Coro
33860,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33860,"Coro del Teatro Regio, Torino",7196,Coro
33861,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33861,"Coro del Teatro Regio, Torino",7196,Coro
33862,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33862,"Coro del Teatro Regio, Torino",7196,Coro
33863,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33863,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33864,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33864,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33865,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33865,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33866,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33866,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33867,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33867,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33868,"Orchestra del Teatro Regio, Torino",7197,Orchestra
33868,"Compagnia di Balletto del Teatro Regio, Torino",8326,Compagnia di danza / corpo di ballo
33869,"Orchestra del Teatro Regio, Torino",7197,Orchestra
