"id";"Crediti artistici";"Crediti tecnici";"recite_collegate";"Id recite collegate";"fullpath";"composizioni_collegate";"Operator ObjectField Getter";"from";"to";"datetext";"source_id";"luogo_prima_rappresentazione";"edificio_prima_rappresentazione"
"32447";"[
    {
        ""Identificativo"": 2657,
        ""Nome"": ""Maria Callas"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 2688,
        ""Nome"": ""Giuseppe Di Stefano"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 10066,
        ""Nome"": ""Serge Lifar"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 10068,
        ""Nome"": ""Aligi Sassu"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 7166,
        ""Nome"": ""Tirelli, Roma"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447)/1 Vespri siciliani, I (33693),/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447)/2 Vespri siciliani, I (33694),/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447)/3 Vespri siciliani, I (33695),/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447)/4 Vespri siciliani, I (33696),/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447)/5 Vespri siciliani, I (33697)";"33693,33694,33695,33696,33697";"/Cronologia (52555)/Stagione lirica 1973 (32228)/1 Vespri siciliani, I (32447)";"/Composizioni (52556)/Vespri siciliani, I (42341)";"";"1973-04-10";"1973-04-21";"10-04-1973 - 21-04-1973";"object_id_3193";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32448";"[
    {
        ""Identificativo"": 8781,
        ""Nome"": ""Sandro Sequi"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 10141,
        ""Nome"": ""Jurgen Henze"",
        ""Ruolo"": ""Scenografo""
    },
    {
        ""Identificativo"": 9260,
        ""Nome"": ""Peter Hall"",
        ""Ruolo"": ""Costumista""
    }
]";"[
    {
        ""identificativo"": 9941,
        ""Nome"": ""Sormani, Milano"",
        ""Ruolo"": ""Realizzazione""
    },
    {
        ""identificativo"": 7166,
        ""Nome"": ""Tirelli, Roma"",
        ""Ruolo"": ""Sartoria""
    },
    {
        ""identificativo"": 7159,
        ""Nome"": ""Mario Audello, Torino"",
        ""Ruolo"": ""Parrucche""
    },
    {
        ""identificativo"": 7167,
        ""Nome"": ""Pompei 2000, Roma"",
        ""Ruolo"": ""Calzature""
    },
    {
        ""identificativo"": 7161,
        ""Nome"": ""Rancati, Cornaredo (MI)"",
        ""Ruolo"": ""Attrezzeria""
    }
]";"/Cronologia (52555)/Stagione lirica 1973 (32228)/2 Werther (32448)/1 Werther (33698),/Cronologia (52555)/Stagione lirica 1973 (32228)/2 Werther (32448)/2 Werther (33699),/Cronologia (52555)/Stagione lirica 1973 (32228)/2 Werther (32448)/3 Werther (33700),/Cronologia (52555)/Stagione lirica 1973 (32228)/2 Werther (32448)/4 Werther (33701)";"33698,33699,33700,33701";"/Cronologia (52555)/Stagione lirica 1973 (32228)/2 Werther (32448)";"/Composizioni (52556)/Werther (40169)";"";"1973-04-26";"1973-05-04";"26-04-1973 - 04-05-1973";"object_id_3199";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32449";"[
    {
        ""Identificativo"": 8643,
        ""Nome"": ""Virginio Puecher"",
        ""Ruolo"": ""Regista,Scenografo""
    },
    {
        ""Identificativo"": 5301,
        ""Nome"": ""Vittorio Rossi"",
        ""Ruolo"": ""Costumista""
    }
]";"[
    {
        ""identificativo"": 9941,
        ""Nome"": ""Sormani, Milano"",
        ""Ruolo"": ""Realizzazione""
    },
    {
        ""identificativo"": 10147,
        ""Nome"": ""Sartoria Peruzzi, Roma"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1973 (32228)/3 Manon Lescaut (32449)/1 Manon Lescaut (33702),/Cronologia (52555)/Stagione lirica 1973 (32228)/3 Manon Lescaut (32449)/2 Manon Lescaut (33703),/Cronologia (52555)/Stagione lirica 1973 (32228)/3 Manon Lescaut (32449)/3 Manon Lescaut (33704),/Cronologia (52555)/Stagione lirica 1973 (32228)/3 Manon Lescaut (32449)/4 Manon Lescaut (33705)";"33702,33703,33704,33705";"/Cronologia (52555)/Stagione lirica 1973 (32228)/3 Manon Lescaut (32449)";"/Composizioni (52556)/Manon Lescaut (40252)";"";"1973-05-13";"1973-05-20";"13-05-1973 - 20-05-1973";"object_id_3204";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32450";"[
    {
        ""Identificativo"": 9633,
        ""Nome"": ""Margherita Wallmann"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 8580,
        ""Nome"": ""Nicola Benois"",
        ""Ruolo"": ""Costumista,Scenografo""
    },
    {
        ""Identificativo"": 8601,
        ""Nome"": ""Susanna Egri"",
        ""Ruolo"": ""Coreografo""
    }
]";"[]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/1 Ballo in maschera, Un (33706),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/2 Ballo in maschera, Un (33707),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/3 Ballo in maschera, Un (33708),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/4 Ballo in maschera, Un (33709),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/5 Ballo in maschera, Un (33710),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/6 Ballo in maschera, Un (33711),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/7 Ballo in maschera, Un (33712),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)/8 Ballo in maschera, Un (33713)";"33706,33707,33708,33709,33710,33711,33712,33713";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/1 Ballo in maschera, Un (32450)";"/Composizioni (52556)/Ballo in maschera, Un (40634)";"";"1973-11-27";"1974-01-27";"27-11-1973 - 27-01-1974";"object_id_3210";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32451";"[
    {
        ""Identificativo"": 10386,
        ""Nome"": ""Carlo Rapp"",
        ""Ruolo"": ""Costumista,Regista,Scenografo""
    },
    {
        ""Identificativo"": 8996,
        ""Nome"": ""Sara Acquarone"",
        ""Ruolo"": ""Coreografo""
    }
]";"[
    {
        ""identificativo"": 6441,
        ""Nome"": ""Teatro Regio, Torino"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/1 Rigoletto (33714),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/2 Rigoletto (33715),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/3 Rigoletto (33716),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/4 Rigoletto (33717),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/5 Rigoletto (33718),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/6 Rigoletto (33719),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/7 Rigoletto (33720),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)/8 Rigoletto (33721)";"33714,33715,33716,33717,33718,33719,33720,33721";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/2 Rigoletto (32451)";"/Composizioni (52556)/Rigoletto (42015)";"";"1973-12-14";"1974-01-13";"14-12-1973 - 13-01-1974";"object_id_3219";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32452";"[
    {
        ""Identificativo"": 9653,
        ""Nome"": ""Rexford Harrower"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 7110,
        ""Nome"": ""Giuseppe Carbone"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 9245,
        ""Nome"": ""Andrzej Majewski"",
        ""Ruolo"": ""Scenografo""
    },
    {
        ""Identificativo"": 9007,
        ""Nome"": ""Jan Skalicky"",
        ""Ruolo"": ""Costumista""
    }
]";"[]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/3 Contes d’Hofmann, Les (32452)/1 Contes d’Hofmann, Les (33722),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/3 Contes d’Hofmann, Les (32452)/2 Contes d’Hofmann, Les (33723),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/3 Contes d’Hofmann, Les (32452)/3 Contes d’Hofmann, Les (33724),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/3 Contes d’Hofmann, Les (32452)/4 Contes d’Hofmann, Les (33725)";"33722,33723,33724,33725";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/3 Contes d’Hofmann, Les (32452)";"/Composizioni (52556)/Contes d'Hoffmann, Les (40217)";"";"1973-12-22";"1974-01-03";"22-12-1973 - 03-01-1974";"object_id_3228";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32453";"[
    {
        ""Identificativo"": 9669,
        ""Nome"": ""Franco Guandalini"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 5988,
        ""Nome"": ""Lorenzo Ghiglia"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 8999,
        ""Nome"": ""Casa d’Arte Fiore, Milano"",
        ""Ruolo"": ""Sartoria""
    },
    {
        ""identificativo"": 7166,
        ""Nome"": ""Tirelli, Roma"",
        ""Ruolo"": ""Sartoria""
    },
    {
        ""identificativo"": 8494,
        ""Nome"": ""C.T.C. Centro Telecinematografico Culturale, Milano"",
        ""Ruolo"": ""Calzature""
    }
]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)/1 Francesca da Rimini (33726),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)/2 Francesca da Rimini (33727),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)/3 Francesca da Rimini (33728),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)/4 Francesca da Rimini (33729),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)/5 Francesca da Rimini (33730),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)/6 Francesca da Rimini (33731)";"33726,33727,33728,33729,33730,33731";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/4 Francesca da Rimini (32453)";"/Composizioni (52556)/Francesca da Rimini (42062)";"";"1974-01-15";"1974-01-29";"15-01-1974 - 29-01-1974";"object_id_3233";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32454";"[
    {
        ""Identificativo"": 3692,
        ""Nome"": ""Alberto Fassini"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 9673,
        ""Nome"": ""Luciana Novaro"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 3918,
        ""Nome"": ""Pier Luigi Pizzi"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 7166,
        ""Nome"": ""Tirelli, Roma"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/5 Moïse et Pharaon (32454)/1 Moïse et Pharaon (33732),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/5 Moïse et Pharaon (32454)/2 Moïse et Pharaon (33733),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/5 Moïse et Pharaon (32454)/3 Moïse et Pharaon (33734),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/5 Moïse et Pharaon (32454)/4 Moïse et Pharaon (33735)";"33732,33733,33734,33735";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/5 Moïse et Pharaon (32454)";"/Composizioni (52556)/Moïse et Pharaon ou le passage de la Mer Rouge (40385)";"";"1974-02-15";"1974-02-22";"15-02-1974 - 22-02-1974";"object_id_3240";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32455";"[
    {
        ""Identificativo"": 8601,
        ""Nome"": ""Susanna Egri"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 5482,
        ""Nome"": ""Marco Parodi"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 9260,
        ""Nome"": ""Peter Hall"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 8588,
        ""Nome"": ""Casa d’arte Cerratelli"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/1 Andrea Chénier (33736),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/2 Andrea Chénier (33737),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/3 Andrea Chénier (33738),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/4 Andrea Chénier (33739),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/5 Andrea Chénier (33740),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/6 Andrea Chénier (33741),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/7 Andrea Chénier (33742),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/8 Andrea Chénier (33743),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)/9 Andrea Chénier (33744)";"33736,33737,33738,33739,33740,33741,33742,33743,33744";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/6 Andrea Chénier (32455)";"/Composizioni (52556)/Andrea Chénier (40102)";"";"1974-02-28";"1974-04-09";"28-02-1974 - 09-04-1974";"object_id_3245";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32456";"[
    {
        ""Identificativo"": 9689,
        ""Nome"": ""Wolfgang Kersten"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 9697,
        ""Nome"": ""Zvonimir Reljić"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 9691,
        ""Nome"": ""Zvonko Agbaba"",
        ""Ruolo"": ""Scenografo""
    },
    {
        ""Identificativo"": 9169,
        ""Nome"": ""Aleksandar Augustinčić"",
        ""Ruolo"": ""Scenografo""
    },
    {
        ""Identificativo"": 9692,
        ""Nome"": ""Ljubica Wagner"",
        ""Ruolo"": ""Costumista""
    }
]";"[]";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/7 Principe Igor, Il (32456)/1 Principe Igor, Il (33745),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/7 Principe Igor, Il (32456)/2 Principe Igor, Il (33746),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/7 Principe Igor, Il (32456)/3 Principe Igor, Il (33747),/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/7 Principe Igor, Il (32456)/4 Principe Igor, Il (33748)";"33745,33746,33747,33748";"/Cronologia (52555)/Stagione lirica 1973-1974 (32229)/7 Principe Igor, Il (32456)";"";"";"1974-03-29";"1974-04-04";"29-03-1974 - 04-04-1974";"object_id_3255";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32457";"[
    {
        ""Identificativo"": 3922,
        ""Nome"": ""Piero Faggioni"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 9590,
        ""Nome"": ""Dante Ferretti"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 7166,
        ""Nome"": ""Tirelli, Roma"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/1 Fanciulla del West, La (33749),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/10 Fanciulla del West, La (33758),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/2 Fanciulla del West, La (33750),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/3 Fanciulla del West, La (33751),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/4 Fanciulla del West, La (33752),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/5 Fanciulla del West, La (33753),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/6 Fanciulla del West, La (33754),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/7 Fanciulla del West, La (33755),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/8 Fanciulla del West, La (33756),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)/9 Fanciulla del West, La (33757)";"33749,33758,33750,33751,33752,33753,33754,33755,33756,33757";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/1 Fanciulla del West, La (32457)";"/Composizioni (52556)/Fanciulla del West, La (40247)";"";"1974-11-26";"1974-12-22";"26-11-1974 - 22-12-1974";"object_id_3261";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32458";"[
    {
        ""Identificativo"": 8601,
        ""Nome"": ""Susanna Egri"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 8781,
        ""Nome"": ""Sandro Sequi"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 4439,
        ""Nome"": ""Pier Luigi Samaritani"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 6425,
        ""Nome"": ""Teatro alla Scala, Milano"",
        ""Ruolo"": ""Sartoria""
    }
]";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458)/1 Capricci di Callot, I (33759),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458)/2 Capricci di Callot, I (33760),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458)/3 Capricci di Callot, I (33761),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458)/4 Capricci di Callot, I (33762),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458)/5 Capricci di Callot, I (33763)";"33759,33760,33761,33762,33763";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/2 Capricci di Callot, I (32458)";"/Composizioni (52556)/Capricci di Callot, I (42135)";"";"1974-12-06";"1974-12-20";"06-12-1974 - 20-12-1974";"object_id_3272";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32459";"[
    {
        ""Identificativo"": 3922,
        ""Nome"": ""Piero Faggioni"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 3918,
        ""Nome"": ""Pier Luigi Pizzi"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[]";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/1 Don Carlo (33764),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/2 Don Carlo (33765),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/3 Don Carlo (33766),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/4 Don Carlo (33767),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/5 Don Carlo (33768),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/6 Don Carlo (33769),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/7 Don Carlo (33770),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)/8 Don Carlo (33771)";"33764,33765,33766,33767,33768,33769,33770,33771";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/3 Don Carlo (32459)";"/Composizioni (52556)/Don Carlo (42056)";"";"1975-01-14";"1975-02-09";"14-01-1975 - 09-02-1975";"object_id_3278";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32460";"[
    {
        ""Identificativo"": 4285,
        ""Nome"": ""Peter Maag"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 9340,
        ""Nome"": ""Vittorio Patané"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 7156,
        ""Nome"": ""Teatro di San Carlo, Napoli"",
        ""Ruolo"": ""Sartoria""
    },
    {
        ""identificativo"": 8418,
        ""Nome"": ""Pedrazzoli, Milano"",
        ""Ruolo"": ""Calzature""
    },
    {
        ""identificativo"": 9341,
        ""Nome"": ""Sorrentino, Napoli"",
        ""Ruolo"": ""Parrucche""
    },
    {
        ""identificativo"": 7161,
        ""Nome"": ""Rancati, Cornaredo (MI)"",
        ""Ruolo"": ""Attrezzeria""
    }
]";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)/1 Così fan tutte (33772),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)/2 Così fan tutte (33773),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)/3 Così fan tutte (33774),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)/4 Così fan tutte (33775),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)/5 Così fan tutte (33776),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)/6 Così fan tutte (33777)";"33772,33773,33774,33775,33776,33777";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/4 Così fan tutte (32460)";"/Composizioni (52556)/Così fan tutte ossia La scuola degli amanti (40193)";"";"1975-02-11";"1975-02-26";"11-02-1975 - 26-02-1975";"object_id_3287";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32461";"[
    {
        ""Identificativo"": 9297,
        ""Nome"": ""Luigi Rognoni"",
        ""Ruolo"": ""Regista,Traduttore""
    },
    {
        ""Identificativo"": 6251,
        ""Nome"": ""Paolo Bregni"",
        ""Ruolo"": ""Costumista,Scenografo""
    }
]";"[
    {
        ""identificativo"": 8999,
        ""Nome"": ""Casa d’Arte Fiore, Milano"",
        ""Ruolo"": ""Sartoria""
    },
    {
        ""identificativo"": 8418,
        ""Nome"": ""Pedrazzoli, Milano"",
        ""Ruolo"": ""Calzature""
    },
    {
        ""identificativo"": 9341,
        ""Nome"": ""Sorrentino, Napoli"",
        ""Ruolo"": ""Parrucche""
    },
    {
        ""identificativo"": 7161,
        ""Nome"": ""Rancati, Cornaredo (MI)"",
        ""Ruolo"": ""Attrezzeria""
    }
]";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)/1 Drei Pintos, Die (33778),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)/2 Drei Pintos, Die (33779),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)/3 Drei Pintos, Die (33780),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)/4 Drei Pintos, Die (33781),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)/5 Drei Pintos, Die (33782),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)/6 Drei Pintos, Die (33783)";"33778,33779,33780,33781,33782,33783";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/5 Drei Pintos, Die (32461)";"/Composizioni (52556)/Drei Pintos, Die (42136)";"";"1975-02-25";"1975-03-08";"25-02-1975 - 08-03-1975";"object_id_3294";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
"32462";"[
    {
        ""Identificativo"": 3622,
        ""Nome"": ""Carlo Piccinato"",
        ""Ruolo"": ""Regista""
    },
    {
        ""Identificativo"": 7110,
        ""Nome"": ""Giuseppe Carbone"",
        ""Ruolo"": ""Coreografo""
    },
    {
        ""Identificativo"": 9606,
        ""Nome"": ""Tito Varisco"",
        ""Ruolo"": ""Scenografo""
    }
]";"[
    {
        ""identificativo"": 8999,
        ""Nome"": ""Casa d’Arte Fiore, Milano"",
        ""Ruolo"": ""Sartoria""
    },
    {
        ""identificativo"": 8418,
        ""Nome"": ""Pedrazzoli, Milano"",
        ""Ruolo"": ""Calzature""
    },
    {
        ""identificativo"": 9341,
        ""Nome"": ""Sorrentino, Napoli"",
        ""Ruolo"": ""Parrucche""
    },
    {
        ""identificativo"": 7161,
        ""Nome"": ""Rancati, Cornaredo (MI)"",
        ""Ruolo"": ""Attrezzeria""
    }
]";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)/1 Faust (33784),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)/2 Faust (33785),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)/3 Faust (33786),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)/4 Faust (33787),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)/5 Faust (33788),/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)/6 Faust (33789)";"33784,33785,33786,33787,33788,33789";"/Cronologia (52555)/Stagione lirica 1974-1975 (32230)/6 Faust (32462)";"/Composizioni (52556)/Faust (40119)";"";"1975-03-14";"1975-04-03";"14-03-1975 - 03-04-1975";"object_id_3301";"/Luoghi/Torino (95280)";"/Edifici/Teatro Regio (95322)"
